name,rows,cols,ub,link
Telco Customer Churn,7043,21,8.82,https://www.kaggle.com/datasets/blastchar/telco-customer-churn
Customer Churn,3333,11,9.41,https://www.kaggle.com/datasets/barun2104/telecom-churn
Bank Customer Churn,10000,18,10.00,https://www.kaggle.com/datasets/radheshyamkollipara/bank-customer-churn
Customer Churn Dataset,64.4k,12,10.00,https://www.kaggle.com/datasets/muhammadshahidazeem/customer-churn-dataset
Bank Customer Churn Dataset,10000,12,10.00,https://www.kaggle.com/datasets/gauravtopre/bank-customer-churn-dataset
Customer Churn Dataset,10000,14,10.00,https://www.kaggle.com/datasets/anandshaw2001/customer-churn-dataset
Bank Customer Churn Prediction,10.0k,14,10.00,https://www.kaggle.com/datasets/shubhammeshram579/bank-customer-churn-prediction
Bank Customer Churn Prediction,10000,14,9.71,https://www.kaggle.com/datasets/shantanudhakadd/bank-customer-churn-prediction
Customer Churn Prediction,5880,21,10.00,https://www.kaggle.com/datasets/rashadrmammadov/customer-churn-dataset
Banking Customer Churn Prediction Dataset,10000,14,10.00,https://www.kaggle.com/datasets/saurabhbadole/bank-customer-churn-prediction-dataset
Customer Churn Prediction:Analysis,1000,10,10.00,https://www.kaggle.com/datasets/abdullah0a/telecom-customer-churn-insights-for-analysis
False,False,False,False,https://www.kaggle.com/datasets/abdallahwagih/telco-customer-churn
Churn for Bank Customers,10000,14,10.00,https://www.kaggle.com/datasets/mathchi/churn-for-bank-customers
Customer Churn Rate,10000,14,10.00,https://www.kaggle.com/datasets/divu2001/customer-churn-rate
Bank Customers Churn,10000,14,9.71,https://www.kaggle.com/datasets/santoshd3/bank-customers
Telco customer churn (11.1.3+),7043,50,10.00,https://www.kaggle.com/datasets/alfathterry/telco-customer-churn-11-1-3
🙁📡 Telecom Customer Churn Prediction,7043,38,10.00,https://www.kaggle.com/datasets/shilongzhuang/telecom-customer-churn-by-maven-analytics
Internet Service Provider Customer Churn,72.3k,11,10.00,https://www.kaggle.com/datasets/mehmetsabrikunt/internet-service-churn
Tour & Travels Customer Churn Prediction,954,7,10.00,https://www.kaggle.com/datasets/tejashvi14/tour-travels-customer-churn-prediction
False,False,False,False,https://www.kaggle.com/datasets/yeanzc/telco-customer-churn-ibm-dataset
False,False,False,False,https://www.kaggle.com/datasets/borhanitrash/telco-customer-churn
Bank Customer Churn Prediction,10000,14,7.65,https://www.kaggle.com/datasets/marslinoedward/bank-customer-churn-prediction
False,False,False,False,https://www.kaggle.com/datasets/ankitverma2010/ecommerce-customer-churn-analysis-and-prediction
Customer Churn,3150,16,5.29,https://www.kaggle.com/datasets/royjafari/customer-churn
Telecom Churn Dataset,667,20,10.00,https://www.kaggle.com/datasets/mnassrib/telecom-churn-datasets
Bank Customer Churn Dataset,10000,12,7.06,https://www.kaggle.com/datasets/bhuviranga/customer-churn-data
Telecom customer,99.6k,100,7.06,https://www.kaggle.com/datasets/abhinav89/telecom-customer
False,False,False,False,https://www.kaggle.com/datasets/pentakrishnakishore/bank-customer-churn-data
Customer Churn Prediction Dataset,300,21,6.47,https://www.kaggle.com/datasets/ahmedgaitani/customer-churn-prediction-dataset
Customer Churn,37.0k,24,7.65,https://www.kaggle.com/datasets/undersc0re/predict-the-churn-risk-rate
Netflix Customer Churn dataset,5000,14,10.00,https://www.kaggle.com/datasets/abdulwadood11220/netflix-customer-churn-dataset
Customer Churn,900,10,5.88,https://www.kaggle.com/datasets/hassanamin/customer-churn
Online Retail Customer Churn Dataset,1000,15,7.06,https://www.kaggle.com/datasets/hassaneskikri/online-retail-customer-churn-dataset
MTN Nigeria Customer Churn,974,17,10.00,https://www.kaggle.com/datasets/oluwademiladeadeniyi/mtn-nigeria-customer-churn
False,False,False,False,https://www.kaggle.com/datasets/ylchang/telco-customer-churn-1113
False,False,False,False,https://www.kaggle.com/datasets/beatafaron/telco-customer-churn-realistic-customer-feedback
Gym customers features and churn,4000,14,8.82,https://www.kaggle.com/datasets/adrianvinueza/gym-customers-features-and-churn
Bank Churn Dataset,110k,13,9.41,https://www.kaggle.com/datasets/rangalamahesh/bank-churn
📱📶 Customers churned in telecom services,7043,20,10.00,https://www.kaggle.com/datasets/kapturovalexander/customers-churned-in-telecom-services
JB Link Telco Customer Churn,7043,46,10.00,https://www.kaggle.com/datasets/johnflag/jb-link-telco-customer-churn
Bank Customer Churn,116k,25,10.00,https://www.kaggle.com/datasets/sandiledesmondmfazi/bank-customer-churn
🛒 E-commerce Customer Data For Behavior Analysis,250k,13,10.00,https://www.kaggle.com/datasets/shriyashjagtap/e-commerce-customer-for-behavior-analysis
Bank Customer Attrition Insights,10000,18,10.00,https://www.kaggle.com/datasets/marusagar/bank-customer-attrition-insights
Customer Churn Prediction Dataset,50.0k,7,10.00,https://www.kaggle.com/datasets/smayanj/customer-churn-prediction-dataset
Sunborn - customer churn,100.0k,9,10.00,https://www.kaggle.com/datasets/zsinghrahulk/sunborn-customer-churn
Why Do Customers Leave? Can You Spot the Churners?,7043,9,10.00,https://www.kaggle.com/datasets/hassanelfattmi/why-do-customers-leave-can-you-spot-the-churners
data telco customer churn,4930,11,8.82,https://www.kaggle.com/datasets/reyhanarighy/data-telco-customer-churn
Marketing Promotion Campaign Uplift Modelling,64.0k,9,10.00,https://www.kaggle.com/datasets/davinwijaya/customer-retention
Customer Churn,10000,11,10.00,https://www.kaggle.com/datasets/willianoliveiragibin/customer-churn
False,False,False,False,https://www.kaggle.com/datasets/samuelsemaya/e-commerce-customer-churn
Credit Card Customer Churn Prediction,10000,14,2.94,https://www.kaggle.com/datasets/rjmanoj/credit-card-customer-churn-prediction
Telco Customer Churn,7043,21,5.88,https://www.kaggle.com/datasets/mustafaoz158/telco-customer-churn
Telecom Customers,7043,21,8.82,https://www.kaggle.com/datasets/tarekmuhammed/telecom-customers
Telco Customer Churn,7043,21,7.06,https://www.kaggle.com/datasets/ayberkural/telco-customer-churn
Predictive Analytics for Customer Churn: Dataset,21,4,7.06,https://www.kaggle.com/datasets/safrin03/predictive-analytics-for-customer-churn-dataset
Predicting Credit Card Customer Segmentation,10.1k,23,10.00,https://www.kaggle.com/datasets/thedevastator/predicting-credit-card-customer-attrition-with-m
Predicting Churn for Bank Customers,10000,14,1.76,https://www.kaggle.com/datasets/adammaus/predicting-churn-for-bank-customers
Customer Churn,900,10,9.41,https://www.kaggle.com/datasets/ghassenkhaled/customer-churn
Logisticregression telecomCustomer churmprediction,7042,9,5.88,https://www.kaggle.com/datasets/dileep070/logisticregression-telecomcustomer-churmprediction
Churn Prediction of bank customers,10000,14,4.71,https://www.kaggle.com/datasets/sonalidasgupta95/churn-prediction-of-bank-customers
Telco Customer Churn,7043,52,7.06,https://www.kaggle.com/datasets/sibelius5/telco-customer-churn
Marketing Series: Customer Churn,544,20,9.12,https://www.kaggle.com/datasets/arashnic/marketing-series-customer-churn
Churn Modeling Dataset,10000,14,9.41,https://www.kaggle.com/datasets/shivan118/churn-modeling-dataset
Telecommunications Industry Customer churn dataset,7043,21,8.24,https://www.kaggle.com/datasets/aadityabansalcodes/telecommunications-industry-customer-churn-dataset
User churn,7032,21,10.00,https://www.kaggle.com/datasets/mikhail1681/user-churn
Churn Prediction for Credit Card Customer,10000,11,7.65,https://www.kaggle.com/datasets/mukeshmanral/churn-prediction-for-credit-card-customer
False,False,False,False,https://www.kaggle.com/datasets/aadrika/customer-churn
Telecom Churn Dataset,244k,14,8.82,https://www.kaggle.com/datasets/suraj520/telecom-churn-dataset
💳 Financial Transactions Dataset: Analytics,6146,13,10.00,https://www.kaggle.com/datasets/computingvictor/transactions-fraud-datasets
Employee Attrition,49.7k,18,8.24,https://www.kaggle.com/datasets/HRAnalyticRepository/employee-attrition-data
telecom churn (cell2cell),20.0k,58,6.47,https://www.kaggle.com/datasets/jpacse/datasets-for-churn-telecom
Daily Happiness & Employee Turnover,4847,5,8.82,https://www.kaggle.com/datasets/harriken/employeeturnover
IT Customer Chrun (Goal : Imbalanced Dataset),7043,20,9.71,https://www.kaggle.com/datasets/soheiltehranipour/it-customer-churn
Large Customer Churn Analysis Dataset,1000,11,9.41,https://www.kaggle.com/datasets/hajraamir21/large-customer-churn-analysis-dataset
Telcom customer churn,7043,21,1.76,https://www.kaggle.com/datasets/puja19/telcom-customer-churn
Telecom Customer Churn,3333,21,7.65,https://www.kaggle.com/datasets/nushkaa/telecom-customer-churn
Bank Customer Churn Prediction,10000,14,9.41,https://www.kaggle.com/datasets/murilozangari/customer-churn-from-a-bank
Sales and Customer Insights Dataset,10000,15,10.00,https://www.kaggle.com/datasets/imranalishahh/sales-and-customer-insights
Telco Customer Churn,7043,50,10.00,https://www.kaggle.com/datasets/rhonarosecortez/telco-customer-churn
Shopping Trends And Customer Behaviour Dataset,3900,18,9.41,https://www.kaggle.com/datasets/sahilislam007/shopping-trends-and-customer-behaviour-dataset
Churn Bank Customers AK,10000,14,6.47,https://www.kaggle.com/datasets/akelsayed/churn-bank-customers-ak
Customer Churn Dataset,10000,11,4.12,https://www.kaggle.com/datasets/simranjitkhehra/customer-churn-dataset
Bank Customer Churn,10000,14,8.24,https://www.kaggle.com/datasets/hemachandiranmurugan/bank-customer-churn
📞 Telecom Customer Churn,7043,21,10.00,https://www.kaggle.com/datasets/mexwell/telecom-customer-churn
Mobile Customer Churn Dataset,8550,33,7.06,https://www.kaggle.com/datasets/dyutidasmahaptra/mobile-customer-churn-dataset
Churn Risk Rate - HackerEarth ML,5,2,8.82,https://www.kaggle.com/datasets/imsparsh/churn-risk-rate-hackerearth-ml
Customer Dataset for Beginners,50,5,10.00,https://www.kaggle.com/datasets/aimack/customer
Binary Classification of Bank Churn Synthetic Data,175k,25,10.00,https://www.kaggle.com/datasets/cybersimar08/binary-classification-of-bank-churn-synthetic-data
Client churn rate in Telecom sector,3333,20,8.82,https://www.kaggle.com/datasets/sagnikpatra/edadata
Telecom Churn clean dataset,3333,20,10.00,https://www.kaggle.com/datasets/mahmoudshaheen1134/telecom-churn-clean-dataset
Customer-Churn-Dataset,7043,21,1.76,https://www.kaggle.com/datasets/girgismicheal/customerchurndataset
Churn Bank Customer,10000,14,8.82,https://www.kaggle.com/datasets/kartiksaini18/churn-bank-customer
False,False,False,False,https://www.kaggle.com/datasets/shivam131019/telecom-churn-dataset
JOB-A-THON - March 2022,2851,2,7.65,https://www.kaggle.com/datasets/gauravduttakiit/jobathon-march-2022
False,False,False,False,https://www.kaggle.com/datasets/nithinreddy90/wa-fn-usec-telco-customer-churn
Customer churn dataset,7043,21,1.76,https://www.kaggle.com/datasets/kirolosatef/customer-churn-dataset
WA_Fn-UseC_-Telco-Customer-Churn,7043,21,1.76,https://www.kaggle.com/datasets/palashfendarkar/wa-fnusec-telcocustomerchurn
HackerEarth: How NOT to lose a customer in 10 days,5,2,7.65,https://www.kaggle.com/datasets/parv619/hackerearth-how-not-to-lose-a-customer-in-10-days
Customer Churn & Segmentation Dataset (Synthetic),2000,9,6.47,https://www.kaggle.com/datasets/efeyldz/customer-churn-and-segmentation-dataset-synthetic
Customer Churn Telco,750,20,8.82,https://www.kaggle.com/datasets/nursyahrina/customer-churn-telco
Airline Loyalty Program (Canada),2,3,10.00,https://www.kaggle.com/datasets/siddharth0935/airline-loyalty-program
Customer Churn,1000,10,2.94,https://www.kaggle.com/datasets/ehsanbouji/customer-churn
False,False,False,False,https://www.kaggle.com/datasets/k123vinod/insurance-churn-prediction-weekend-hackathon
Bank Churn Dataset,110k,2,9.41,https://www.kaggle.com/datasets/harshitstark/dataset
False,False,False,False,https://www.kaggle.com/datasets/erolmasimov/powerco
Credit Card Customer Churn Prediction,7043,21,3.53,https://www.kaggle.com/datasets/mahmudulhaqueshawon/credit-card-customer-churn-prediction
False,False,False,False,https://www.kaggle.com/datasets/rishikumarrajvansh/marketing-insights-for-e-commerce-company
Netflix Users Database,25.0k,8,10.00,https://www.kaggle.com/datasets/smayanj/netflix-users-database
customer churn,1000,6,2.35,https://www.kaggle.com/datasets/nmnbabbar/customer-churn
Synthetic Telecom Customer Churn Data,650,14,9.41,https://www.kaggle.com/datasets/abdulrahmanqaten/synthetic-customer-churn
bank_churn,110k,2,8.24,https://www.kaggle.com/datasets/bravo03/bank-churn
Bank Customer Churn,10000,12,1.76,https://www.kaggle.com/datasets/adepvenugopal/telco-customer-churn
Bank Churn (test),110k,13,8.24,https://www.kaggle.com/datasets/harshitstark/bank-churn-dataset-test
Sample Telco Customer Churn Dataset,7011,21,7.65,https://www.kaggle.com/datasets/easonlai/sample-telco-customer-churn-dataset
Synthetic Customer Analytics Dataset,100.0k,20,10.00,https://www.kaggle.com/datasets/siddharth0935/synthetic-customer-analytics-dataset
Telecom Customer Churn,7043,21,2.94,https://www.kaggle.com/datasets/moe5998/telecom-customer-churn
Customer-churn-datasets,7043,21,4.12,https://www.kaggle.com/datasets/ranasarkar15/customerchurndatasets
CDR-Call Details Record Dataset,101k,17,9.41,https://www.kaggle.com/datasets/anshulmehtakaggl/cdrcall-details-record-predict-telco-churn
Churn Modelling - Classification Training,10000,14,8.24,https://www.kaggle.com/datasets/alyelbadry/churn-modelling-cluster-training
Auto Insurance churn analysis dataset,1.54m,7,8.82,https://www.kaggle.com/datasets/merishnasuwal/auto-insurance-churn-analysis-dataset
Retail Sales and Customer Behavior Analysis,1000k,78,7.06,https://www.kaggle.com/datasets/utkalk/large-retail-data-set-for-eda
Customer Churn - Decision Tree & Random Forest,7043,21,10.00,https://www.kaggle.com/datasets/vikramamin/customer-churn-decision-tree-and-random-forest
Churn Modeling Bank,10000,14,10.00,https://www.kaggle.com/datasets/amirmotefaker/churn-modeling-bank
CUSTOMER CHURN,7043,21,2.35,https://www.kaggle.com/datasets/rayenkhayat/customer-churn
Customer Churn dataset for Life Insurance Industry,200k,12,4.71,https://www.kaggle.com/datasets/usmanfarid/customer-churn-dataset-for-life-insurance-industry
False,False,False,False,https://www.kaggle.com/datasets/lclave/customer-churn
Project Telecommunication Customer Churn,3333,17,4.12,https://www.kaggle.com/datasets/dhanushu2012/project-telecommunication-customer-churn
Telecommunication Customer Churn Data,7043,21,5.88,https://www.kaggle.com/datasets/ebruiserisobay/telcods
Customer Churn,64.4k,12,4.71,https://www.kaggle.com/datasets/sohailaelsayed/customer-churn
Customer Churn with explainable AI,10000,14,4.71,https://www.kaggle.com/datasets/teesoong/customer-churn-with-explainable-ai
Digital Marketing | E-Commerce | Customer Behavior,False,20,3.53,https://www.kaggle.com/datasets/ermismbatuhan/digital-marketing-ecommerce-customer-behavior
Customer Churn Prediction Dataset,7043,21,1.76,https://www.kaggle.com/datasets/studymart/customer-churn-prediction
False,False,False,False,https://www.kaggle.com/datasets/joy11117/customer-churn-dataset
Bank Customer Churn Prediction,10.0k,14,1.76,https://www.kaggle.com/datasets/aarushikamboj/bank-customer-churn-prediction
Bank Churn (train),165k,14,8.24,https://www.kaggle.com/datasets/harshitstark/bank-churn-train
Customer-Churn,1343,1,3.53,https://www.kaggle.com/datasets/karamalhanatleh/customer-churn
Practice Dataset Predict Customer Churn (Telecom),3333,11,6.47,https://www.kaggle.com/datasets/gaurangswarge/practice-dataset-predict-customer-churn-telecom
Bank Customer Churn,158k,14,5.88,https://www.kaggle.com/datasets/cat-reloaded-data-science/bank-customer-churn
Bank Churn Prediction,175k,25,10.00,https://www.kaggle.com/datasets/willianoliveiragibin/bank-churn-prediction
EcommerceCustomerData,1000,11,8.24,https://www.kaggle.com/datasets/adityasingh01676/ecommercecustomerdata
False,False,False,False,https://www.kaggle.com/datasets/msarvesh/customer-churn-in-large-dataset
Customer Churn Dataset,22.1k,21,2.35,https://www.kaggle.com/datasets/the0electronic0guy/customer-churn-dataset
Customer Churn,3333,21,1.76,https://www.kaggle.com/datasets/jhskaggle/lecture04part2
Customer Churn Prediction Analysis,91.7k,36,1.18,https://www.kaggle.com/datasets/huzaiftila/customer-churn-prediction-analysis
Brazilian e-commerce company: OLIST,99.4k,5,10.00,https://www.kaggle.com/datasets/erak1006/brazilian-e-commerce-company-olist
Internet Customer Churn,1409,20,2.94,https://www.kaggle.com/datasets/krishnanshverma/internet-customer-churn
telecom_Churn,7043,21,5.88,https://www.kaggle.com/datasets/ritikasaini/telecom-churn
Customer Churn Prediction Dataset,1000,6,9.41,https://www.kaggle.com/datasets/sahideseker/customer-churn-prediction-dataset
Telco-customer-churn,7043,30,7.65,https://www.kaggle.com/datasets/singhnproud77/telcocustomerchurn
False,False,False,False,https://www.kaggle.com/datasets/lashkingl/bank-customers-churn
Customer Churn Dataset,10000,14,1.18,https://www.kaggle.com/datasets/sercanyesiloz/customer-churn-dataset
Customer Churn Data,200,28,5.29,https://www.kaggle.com/datasets/aysenurdalfidan/customer-churn-data
Telecommunications Industry Customer churn DB,2,2,5.88,https://www.kaggle.com/datasets/mezowahed/telecommunications-industry-customer-churn-db
Customer churn dataset,11.0k,18,4.71,https://www.kaggle.com/datasets/zagroz901/customer-churn-dataset
False,False,False,False,https://www.kaggle.com/datasets/peachji/credit-card-dataset
False,False,False,False,https://www.kaggle.com/datasets/rjmanoj/telecom-customer-churn-prediction
Customer Churn Dataset,7043,21,1.76,https://www.kaggle.com/datasets/divanshu22/customer-churn-dataset
telecom churn dataset,100.0k,226,5.88,https://www.kaggle.com/datasets/datajameson/telecom-churn-dataset
Flight_Analytics_Dataset,100,18,10.00,https://www.kaggle.com/datasets/goyaladi/flight-dataset
Churn data,10000,14,6.47,https://www.kaggle.com/datasets/synful/churn-data
Advanced Customer Churn Prediction,7043,21,8.82,https://www.kaggle.com/datasets/graceegbe12/advanced-customer-churn-prediction
False,False,False,False,https://www.kaggle.com/datasets/lampubhutia/telecomcustomer-churn
Customer Churn Prediction,1000,9,6.47,https://www.kaggle.com/datasets/saivamsir/customer-churn
HR_Dataset,15.0k,10,3.53,https://www.kaggle.com/datasets/kadirduran/hr-dataset
Databel Telecom Customer Churn Dataset,6687,29,1.76,https://www.kaggle.com/datasets/yichienchong/databel-telecom-customer-churn-dataset
Bank customer churn,10.0k,14,1.76,https://www.kaggle.com/datasets/nrng19/bank-customer-churn
BigQuery Churn Dataset,4250,21,10.00,https://www.kaggle.com/datasets/mustafakeser4/bigquery-churn-dataset
False,False,False,False,https://www.kaggle.com/datasets/santhraul/telecom-churn-data
Analyzing Customer Churn and Its Impact on Revenue,750,6,9.41,https://www.kaggle.com/datasets/thedevastator/analyzing-customer-churn-and-its-impact-on-reven
Customer Churn,10000,15,1.76,https://www.kaggle.com/datasets/ranjeetshrivastav/customer-churn
bank customers and their churn behavior,10000,14,4.71,https://www.kaggle.com/datasets/sharanharsoor/bank-customers-and-their-churn-behavior
Customer Churn,3333,21,1.76,https://www.kaggle.com/datasets/caojingw/customer-churn
False,False,False,False,https://www.kaggle.com/datasets/nastaranzandi/customer-churn-dataset-for-a-retail-industry
Churn Data set,544,20,8.53,https://www.kaggle.com/datasets/abhigm/churn-data-set
Spotify Customer Churn dataset,1000,10,9.41,https://www.kaggle.com/datasets/abdulwadood11220/spotify-customer-churn-dataset
XYZ Bank Customer Churn,3999,14,9.41,https://www.kaggle.com/datasets/soumilmukhopadhyay/xyz-bank-customer-churn
Telco Customer Churn,7043,21,2.94,https://www.kaggle.com/datasets/engahmedelzoz/telco-customer-churn
Telecom_Churn Details of Customer,7032,21,8.24,https://www.kaggle.com/datasets/hemachandiranmurugan/telecom-churn-details-of-customer
Telco Customer Churn,7043,21,2.35,https://www.kaggle.com/datasets/birgulkilic/telco-customer-churn
Telco-Customer-Churn,7043,21,1.76,https://www.kaggle.com/datasets/tarzon/telcocustomerchurn
TeleCommunications,1000,12,4.71,https://www.kaggle.com/datasets/navins7/telecommunications
churn_modelling,10000,14,4.12,https://www.kaggle.com/datasets/jssunmathi/churn-modelling
False,False,False,False,https://www.kaggle.com/datasets/dddtra/netflix-customer-churn-and-engagement-dataset
