Unnamed: 0,name,rows,cols,ub,link
41,?õí E-commerce Customer Data For Behavior Analysis,250000,13,10,https://www.kaggle.com/datasets/shriyashjagtap/e-commerce-customer-for-behavior-analysis
40,Bank Customer Churn,116000,25,10,https://www.kaggle.com/datasets/sandiledesmondmfazi/bank-customer-churn
39,JB Link Telco Customer Churn,7043,46,10,https://www.kaggle.com/datasets/johnflag/jb-link-telco-customer-churn
2,Bank Customer Churn,10000,18,10,https://www.kaggle.com/datasets/radheshyamkollipara/bank-customer-churn
3,Customer Churn Dataset,64400,12,10,https://www.kaggle.com/datasets/muhammadshahidazeem/customer-churn-dataset
17,Internet Service Provider Customer Churn,72300,11,10,https://www.kaggle.com/datasets/mehmetsabrikunt/internet-service-churn
4,Bank Customer Churn Dataset,10000,12,10,https://www.kaggle.com/datasets/gauravtopre/bank-customer-churn-dataset
5,Customer Churn Dataset,10000,14,10,https://www.kaggle.com/datasets/anandshaw2001/customer-churn-dataset
6,Bank Customer Churn Prediction,10000,14,10,https://www.kaggle.com/datasets/shubhammeshram579/bank-customer-churn-prediction
8,Customer Churn Prediction,5880,21,10,https://www.kaggle.com/datasets/rashadrmammadov/customer-churn-dataset
9,Banking Customer Churn Prediction Dataset,10000,14,10,https://www.kaggle.com/datasets/saurabhbadole/bank-customer-churn-prediction-dataset
10,Customer Churn Prediction:Analysis,1000,10,10,https://www.kaggle.com/datasets/abdullah0a/telecom-customer-churn-insights-for-analysis
38,?ì±?ì∂ Customers churned in telecom services,7043,20,10,https://www.kaggle.com/datasets/kapturovalexander/customers-churned-in-telecom-services
18,Tour & Travels Customer Churn Prediction,954,7,10,https://www.kaggle.com/datasets/tejashvi14/tour-travels-customer-churn-prediction
12,Churn for Bank Customers,10000,14,10,https://www.kaggle.com/datasets/mathchi/churn-for-bank-customers
13,Customer Churn Rate,10000,14,10,https://www.kaggle.com/datasets/divu2001/customer-churn-rate
15,Telco customer churn (11.1.3+),7043,50,10,https://www.kaggle.com/datasets/alfathterry/telco-customer-churn-11-1-3
16,?ôÅ?ì° Telecom Customer Churn Prediction,7043,38,10,https://www.kaggle.com/datasets/shilongzhuang/telecom-customer-churn-by-maven-analytics
121,Customer Churn - Decision Tree & Random Forest,7043,21,10,https://www.kaggle.com/datasets/vikramamin/customer-churn-decision-tree-and-random-forest
286,Customer Segmentation Dataset,10000,42,10,https://www.kaggle.com/datasets/palvinder2006/customer-dataset
277,?îÆChurn Prediction: Unlocking Retention Secrets?îì,5000,26,10,https://www.kaggle.com/datasets/simronw/churn-prediction-unlocking-retention-secrets
30,Netflix Customer Churn dataset,5000,14,10,https://www.kaggle.com/datasets/abdulwadood11220/netflix-customer-churn-dataset
87,Binary Classification of Bank Churn Synthetic Data,175000,25,10,https://www.kaggle.com/datasets/cybersimar08/binary-classification-of-bank-churn-synthetic-data
100,Airline Loyalty Program (Canada),2,3,10,https://www.kaggle.com/datasets/siddharth0935/airline-loyalty-program
114,Synthetic Customer Analytics Dataset,100000,20,10,https://www.kaggle.com/datasets/siddharth0935/synthetic-customer-analytics-dataset
240,Barber Shop Frequency Data,13400,3,10,https://www.kaggle.com/datasets/fredericobaker/barber-shop-frequency-data
68,?í≥ Financial Transactions Dataset: Analytics,6146,13,10,https://www.kaggle.com/datasets/computingvictor/transactions-fraud-datasets
83,?ìû Telecom Customer Churn,7043,21,10,https://www.kaggle.com/datasets/mexwell/telecom-customer-churn
122,Churn Modeling Bank,10000,14,10,https://www.kaggle.com/datasets/amirmotefaker/churn-modeling-bank
232,E-Corp Customer Satisfaction Data.,1989,11,10,https://www.kaggle.com/datasets/furykan/e-corp-dataset
144,Brazilian e-commerce company: OLIST,99400,5,10,https://www.kaggle.com/datasets/erak1006/brazilian-e-commerce-company-olist
195,E-Commerce Customer Analytics : Loyalty vs Fraud,5000,13,10,https://www.kaggle.com/datasets/sahilislam007/e-commerce-customer-analytics-loyalty-vs-fraud
496,churndataset,7043,22,10,https://www.kaggle.com/datasets/emanafi/churndataset
224,Employee Churn at Dunder Mifflin Paper Company,1543,17,10,https://www.kaggle.com/datasets/cocolicoq4/employee-churn-at-dunder-mifflin-paper-company
489,Divvy_tripdata_Feb21Jan22,49600,13,10,https://www.kaggle.com/datasets/pragyanp/divvy-tripdata-feb21jan22
209,Bank Churn Pre-processed Dataset,110000,2,10,https://www.kaggle.com/datasets/faizanyousafonly/bank-churn-pre-processed-dataset
445,Mall Customer,200,5,10,https://www.kaggle.com/datasets/ramisashararnidhi/mall-customer-csv
43,Customer Churn Prediction Dataset,50000,7,10,https://www.kaggle.com/datasets/smayanj/customer-churn-prediction-dataset
44,Sunborn - customer churn,100000,9,10,https://www.kaggle.com/datasets/zsinghrahulk/sunborn-customer-churn
45,Why Do Customers Leave? Can You Spot the Churners?,7043,9,10,https://www.kaggle.com/datasets/hassanelfattmi/why-do-customers-leave-can-you-spot-the-churners
64,User churn,7032,21,10,https://www.kaggle.com/datasets/mikhail1681/user-churn
89,Telecom Churn clean dataset,3333,20,10,https://www.kaggle.com/datasets/mahmoudshaheen1134/telecom-churn-clean-dataset
327,SibAlfaHack,330000,89,10,https://www.kaggle.com/datasets/akscent/sibalfahack
78,Telco Customer Churn,7043,50,10,https://www.kaggle.com/datasets/rhonarosecortez/telco-customer-churn
42,Bank Customer Attrition Insights,10000,18,10,https://www.kaggle.com/datasets/marusagar/bank-customer-attrition-insights
47,Marketing Promotion Campaign Uplift Modelling,64000,9,10,https://www.kaggle.com/datasets/davinwijaya/customer-retention
48,Customer Churn,10000,11,10,https://www.kaggle.com/datasets/willianoliveiragibin/customer-churn
33,MTN Nigeria Customer Churn,974,17,10,https://www.kaggle.com/datasets/oluwademiladeadeniyi/mtn-nigeria-customer-churn
55,Predicting Credit Card Customer Segmentation,10100,23,10,https://www.kaggle.com/datasets/thedevastator/predicting-credit-card-customer-attrition-with-m
158,Flight_Analytics_Dataset,100,18,10,https://www.kaggle.com/datasets/goyaladi/flight-dataset
166,BigQuery Churn Dataset,4250,21,10,https://www.kaggle.com/datasets/mustafakeser4/bigquery-churn-dataset
107,Netflix Users Database,25000,8,10,https://www.kaggle.com/datasets/smayanj/netflix-users-database
138,Bank Churn Prediction,175000,25,10,https://www.kaggle.com/datasets/willianoliveiragibin/bank-churn-prediction
24,Telecom Churn Dataset,667,20,10,https://www.kaggle.com/datasets/mnassrib/telecom-churn-datasets
77,Sales and Customer Insights Dataset,10000,15,10,https://www.kaggle.com/datasets/imranalishahh/sales-and-customer-insights
86,Customer Dataset for Beginners,50,5,10,https://www.kaggle.com/datasets/aimack/customer
7,Bank Customer Churn Prediction,10000,14,9.71,https://www.kaggle.com/datasets/shantanudhakadd/bank-customer-churn-prediction
72,IT Customer Chrun (Goal : Imbalanced Dataset),7043,20,9.71,https://www.kaggle.com/datasets/soheiltehranipour/it-customer-churn
14,Bank Customers Churn,10000,14,9.71,https://www.kaggle.com/datasets/santoshd3/bank-customers
1,Customer Churn,3333,11,9.41,https://www.kaggle.com/datasets/barun2104/telecom-churn
235,Telecom Churn Dataset,750,20,9.41,https://www.kaggle.com/datasets/arashnic/telecom-churn-dataset
103,Bank Churn Dataset,110000,2,9.41,https://www.kaggle.com/datasets/harshitstark/dataset
117,CDR-Call Details Record Dataset,101000,17,9.41,https://www.kaggle.com/datasets/anshulmehtakaggl/cdrcall-details-record-predict-telco-churn
283,BongChoi Customer Churn Prediction Dataset,101000,12,9.41,https://www.kaggle.com/datasets/souradippal/bongchoi-customer-churn-prediction-dataset
391,"Customer Churn (Telecom) - LR, DT, RF and AUC",3333,11,9.41,https://www.kaggle.com/datasets/vikramamin/customer-churn-telecom-lr-dt-rf-and-auc
73,Large Customer Churn Analysis Dataset,1000,11,9.41,https://www.kaggle.com/datasets/hajraamir21/large-customer-churn-analysis-dataset
595,Telecom Dataset - Measure Churn,6687,29,9.41,https://www.kaggle.com/datasets/maggieakarn/telecom-dataset-measure-churn
274,custchurn,100000,9,9.41,https://www.kaggle.com/datasets/yajatmukhija/custchurn
226,Employee (Augmented),1000000,10,9.41,https://www.kaggle.com/datasets/mathurinache/employee-augmented
534,Technical Support NPS Data,20200,9,9.41,https://www.kaggle.com/datasets/jasonlukeball/technical-support-nps-data
492,Feature Engineering Dataset,10000,7,9.41,https://www.kaggle.com/datasets/ajaysoni846546/feature-engineering-dataset
174,Spotify Customer Churn dataset,1000,10,9.41,https://www.kaggle.com/datasets/abdulwadood11220/spotify-customer-churn-dataset
175,XYZ Bank Customer Churn,3999,14,9.41,https://www.kaggle.com/datasets/soumilmukhopadhyay/xyz-bank-customer-churn
211,Online Retail Customer Churn Prediction Dataset,9000,17,9.41,https://www.kaggle.com/datasets/sahilislam007/online-retail-customer-churn-prediction-dataset
271,?ìä Synthetic TelCo Messy Dataset Churn Prediction,70000,21,9.41,https://www.kaggle.com/datasets/marwanehosni/synthetic-telco-messy-dataset-churn-prediction
523,"Indian Stock Market, Stocks name, symbol(ticker)..",220,2,9.41,https://www.kaggle.com/datasets/yekahaaagayeham/stocks-listed-on-nifty-500-july-2021
147,Customer Churn Prediction Dataset,1000,6,9.41,https://www.kaggle.com/datasets/sahideseker/customer-churn-prediction-dataset
57,Customer Churn,900,10,9.41,https://www.kaggle.com/datasets/ghassenkhaled/customer-churn
37,Bank Churn Dataset,110000,13,9.41,https://www.kaggle.com/datasets/rangalamahesh/bank-churn
109,Synthetic Telecom Customer Churn Data,650,14,9.41,https://www.kaggle.com/datasets/abdulrahmanqaten/synthetic-customer-churn
154,Credit card dataset for visualization,32,4,9.41,https://www.kaggle.com/datasets/peachji/credit-card-dataset
168,Analyzing Customer Churn and Its Impact on Revenue,750,6,9.41,https://www.kaggle.com/datasets/thedevastator/analyzing-customer-churn-and-its-impact-on-reven
62,Churn Modeling Dataset,10000,14,9.41,https://www.kaggle.com/datasets/shivan118/churn-modeling-dataset
76,Bank Customer Churn Prediction,10000,14,9.41,https://www.kaggle.com/datasets/murilozangari/customer-churn-from-a-bank
79,Shopping Trends And Customer Behaviour Dataset,3900,18,9.41,https://www.kaggle.com/datasets/sahilislam007/shopping-trends-and-customer-behaviour-dataset
61,Marketing Series: Customer Churn,544,20,9.12,https://www.kaggle.com/datasets/arashnic/marketing-series-customer-churn
88,Client churn rate in Telecom sector,3333,20,8.82,https://www.kaggle.com/datasets/sagnikpatra/edadata
85,Churn Risk Rate - HackerEarth ML,5,2,8.82,https://www.kaggle.com/datasets/imsparsh/churn-risk-rate-hackerearth-ml
567,Vodafone,360,20,8.82,https://www.kaggle.com/datasets/finance123456/vodafone
106,Marketing Insights for E-Commerce Company,1468,4,8.82,https://www.kaggle.com/datasets/rishikumarrajvansh/marketing-insights-for-e-commerce-company
36,Gym customers features and churn,4000,14,8.82,https://www.kaggle.com/datasets/adrianvinueza/gym-customers-features-and-churn
99,Customer Churn Telco,750,20,8.82,https://www.kaggle.com/datasets/nursyahrina/customer-churn-telco
52,Telecom Customers,7043,21,8.82,https://www.kaggle.com/datasets/tarekmuhammed/telecom-customers
67,Telecom Churn Dataset,244000,14,8.82,https://www.kaggle.com/datasets/suraj520/telecom-churn-dataset
91,Churn Bank Customer,10000,14,8.82,https://www.kaggle.com/datasets/kartiksaini18/churn-bank-customer
46,data telco customer churn,4930,11,8.82,https://www.kaggle.com/datasets/reyhanarighy/data-telco-customer-churn
160,Advanced Customer Churn Prediction,7043,21,8.82,https://www.kaggle.com/datasets/graceegbe12/advanced-customer-churn-prediction
119,Auto Insurance churn analysis dataset,1540000,7,8.82,https://www.kaggle.com/datasets/merishnasuwal/auto-insurance-churn-analysis-dataset
11,Telco Customer Churn,7043,33,8.82,https://www.kaggle.com/datasets/abdallahwagih/telco-customer-churn
279,E-commerce churn dataset - REES46,113000,276,8.82,https://www.kaggle.com/datasets/fridrichmrtn/e-commerce-churn-dataset-rees46
233,E-commerce churn dataset - Retail Rocket,2722,231,8.82,https://www.kaggle.com/datasets/fridrichmrtn/e-commerce-churn-dataset-retail-rocket
273,churn prediction,10000,14,8.82,https://www.kaggle.com/datasets/krishnasince2005/churn-prediction
186,Subscription Churn Dataset,963,21,8.82,https://www.kaggle.com/datasets/sameerhussain007/subscription-churn-dataset
495,Credit_Card_Churn,10000,21,8.82,https://www.kaggle.com/datasets/kunalgp/credit-card-churn
71,Daily Happiness & Employee Turnover,4847,5,8.82,https://www.kaggle.com/datasets/harriken/employeeturnover
0,Telco Customer Churn,7043,21,8.82,https://www.kaggle.com/datasets/blastchar/telco-customer-churn
394,Customer_Churn,10000,10,8.82,https://www.kaggle.com/datasets/rajagrawal7089/customer-churn
407,Customer Transactions,542000,8,8.82,https://www.kaggle.com/datasets/agarwalyashhh/customer-transactions
297,Retail Business Intelligence Dataset,10000,3,8.82,https://www.kaggle.com/datasets/guimacrlh/dataset-vendas
173,Churn Data set,544,20,8.53,https://www.kaggle.com/datasets/abhigm/churn-data-set
177,Telecom_Churn Details of Customer,7032,21,8.24,https://www.kaggle.com/datasets/hemachandiranmurugan/telecom-churn-details-of-customer
189,Telco Customer Churn - 2,4265,21,8.24,https://www.kaggle.com/datasets/davidlaya/telco-customer-churn-2
139,EcommerceCustomerData,1000,11,8.24,https://www.kaggle.com/datasets/adityasingh01676/ecommercecustomerdata
82,Bank Customer Churn,10000,14,8.24,https://www.kaggle.com/datasets/hemachandiranmurugan/bank-customer-churn
110,bank_churn,110000,2,8.24,https://www.kaggle.com/datasets/bravo03/bank-churn
63,Telecommunications Industry Customer churn dataset,7043,21,8.24,https://www.kaggle.com/datasets/aadityabansalcodes/telecommunications-industry-customer-churn-dataset
112,Bank Churn (test),110000,13,8.24,https://www.kaggle.com/datasets/harshitstark/bank-churn-dataset-test
259,DQLab Telco Final,6950,13,8.24,https://www.kaggle.com/datasets/samran98/customer-churn-telco-final
451,Customer Analysis,1000,6,8.24,https://www.kaggle.com/datasets/mateusxavier/customer-analysis
231,"Telecom Company Churn Rate, Call Center Data",7043,23,8.24,https://www.kaggle.com/datasets/datazng/telecom-company-churn-rate-call-center-data
134,Bank Churn (train),165000,14,8.24,https://www.kaggle.com/datasets/harshitstark/bank-churn-train
118,Churn Modelling - Classification Training,10000,14,8.24,https://www.kaggle.com/datasets/alyelbadry/churn-modelling-cluster-training
69,Employee Attrition,49700,18,8.24,https://www.kaggle.com/datasets/HRAnalyticRepository/employee-attrition-data
242,Bank Churn Dataset,116000,22,8.24,https://www.kaggle.com/datasets/navneetmuliya/bank-churn-dataset
462,Streaming Service Data,5000,12,7.65,https://www.kaggle.com/datasets/akashanandt/streaming-service-data
113,Sample Telco Customer Churn Dataset,7011,21,7.65,https://www.kaggle.com/datasets/easonlai/sample-telco-customer-churn-dataset
608,PowerCO.(a major gas and electricity utility),14600,26,7.65,https://www.kaggle.com/datasets/takusingh/powerco-a-major-gas-and-electricity-utility
236,South Asian Churn dataset,2000,14,7.65,https://www.kaggle.com/datasets/mahreen/sato2015
148,Telco-customer-churn,7043,30,7.65,https://www.kaggle.com/datasets/singhnproud77/telcocustomerchurn
505,Telecom Churn,7043,38,7.65,https://www.kaggle.com/datasets/mihailisman/telecom
238,Telco Customer Churn (IBM),7043,23,7.65,https://www.kaggle.com/datasets/denisexpsito/telco-customer-churn-ibm
184,Churn Modelling,10000,14,7.65,https://www.kaggle.com/datasets/shrutimechlearn/churn-modelling
97,HackerEarth: How NOT to lose a customer in 10 days,5,2,7.65,https://www.kaggle.com/datasets/parv619/hackerearth-how-not-to-lose-a-customer-in-10-days
22,Ecommerce Customer Churn Analysis and Prediction,5630,20,7.65,https://www.kaggle.com/datasets/ankitverma2010/ecommerce-customer-churn-analysis-and-prediction
21,Bank Customer Churn Prediction,10000,14,7.65,https://www.kaggle.com/datasets/marslinoedward/bank-customer-churn-prediction
65,Churn Prediction for Credit Card Customer,10000,11,7.65,https://www.kaggle.com/datasets/mukeshmanral/churn-prediction-for-credit-card-customer
93,JOB-A-THON - March 2022,2851,2,7.65,https://www.kaggle.com/datasets/gauravduttakiit/jobathon-march-2022
19,Telco customer churn: IBM dataset,7043,33,7.65,https://www.kaggle.com/datasets/yeanzc/telco-customer-churn-ibm-dataset
29,Customer Churn,37000,24,7.65,https://www.kaggle.com/datasets/undersc0re/predict-the-churn-risk-rate
284,Cleaned_Brazilian_ECommerce_Data,112000,24,7.65,https://www.kaggle.com/datasets/sudhanshukumar50480/cleaned-brazilian-ecommerce-data
390,Customer Segmentation,53500,20,7.65,https://www.kaggle.com/datasets/syntheticprogrammer/customer-segmentation
75,Telecom Customer Churn,3333,21,7.65,https://www.kaggle.com/datasets/nushkaa/telecom-customer-churn
281,Customer churn of PowerCo.ltd,14600,26,7.65,https://www.kaggle.com/datasets/sharmadeepankaj/customer-churn-of-powerco-ltd
250,Telecom Churn Case Study,36,2,7.65,https://www.kaggle.com/datasets/erak1006/telecom-churn-case-study-aditya
26,Telecom customer,99600,100,7.06,https://www.kaggle.com/datasets/abhinav89/telecom-customer
60,Telco Customer Churn,7043,52,7.06,https://www.kaggle.com/datasets/sibelius5/telco-customer-churn
92,Telecom Customer Churn Dataset,38,2,7.06,https://www.kaggle.com/datasets/shivam131019/telecom-churn-dataset
54,Predictive Analytics for Customer Churn: Dataset,21,4,7.06,https://www.kaggle.com/datasets/safrin03/predictive-analytics-for-customer-churn-dataset
53,Telco Customer Churn,7043,21,7.06,https://www.kaggle.com/datasets/ayberkural/telco-customer-churn
84,Mobile Customer Churn Dataset,8550,33,7.06,https://www.kaggle.com/datasets/dyutidasmahaptra/mobile-customer-churn-dataset
568,Churn_Modelling,10000,14,7.06,https://www.kaggle.com/datasets/arjitdsce/churn-modelling
574,internet_customer,5517,11,7.06,https://www.kaggle.com/datasets/miftahuddinm/internet-customer
120,Retail Sales and Customer Behavior Analysis,1000000,78,7.06,https://www.kaggle.com/datasets/utkalk/large-retail-data-set-for-eda
414,Multitable Ecommerce European Fashion,7,7,7.06,https://www.kaggle.com/datasets/joycemara/european-fashion-store-multitable-dataset
351,PowerCo dataset,16100,32,7.06,https://www.kaggle.com/datasets/naiborhujosua/energy-industry
25,Bank Customer Churn Dataset,10000,12,7.06,https://www.kaggle.com/datasets/bhuviranga/customer-churn-data
32,Online Retail Customer Churn Dataset,1000,15,7.06,https://www.kaggle.com/datasets/hassaneskikri/online-retail-customer-churn-dataset
198,Telecom Churn Data,38,2,7.06,https://www.kaggle.com/datasets/hritikesinghrawat/telecom-churn-data
538,Quantium_Customer_Behavior_Analysis,72600,3,7.06,https://www.kaggle.com/datasets/muhammadmabdullah/quantium-customer-behavior-analysis
229,Telecom Churn Dataset,100000,226,7.06,https://www.kaggle.com/datasets/ezzzio/telecom-churn-data
458,Customer Information Dataset for Analysis,122,13,7.06,https://www.kaggle.com/datasets/salonimalpani/customer-information-dataset-for-analysis
214,Telco Customer Churn,7042,9,7.06,https://www.kaggle.com/datasets/syedumeerr/telco-customer-churn
212,Insurance Churn Prediction - Machine Hack,11300,16,7.06,https://www.kaggle.com/datasets/mukulsingh/insurance-churn-prediction
285,Credit Card Churn Prediction,10100,23,7.06,https://www.kaggle.com/datasets/anwarsan/credit-card-bank-churn
206,Tech Company Data (getlatka.com),527,47,7.06,https://www.kaggle.com/datasets/gjthompson1/tech-company-data-getlatkacom
218,Bank Turnover Dataset,10000,14,6.76,https://www.kaggle.com/datasets/barelydedicated/bank-customer-churn-modeling
309,Customer Churn Analysis Dataset,14600,26,6.47,https://www.kaggle.com/datasets/chayanroy3/customer-churn-analysis-dataset
290,Customer Churn Dataset - Banking Industry,10000,14,6.47,https://www.kaggle.com/datasets/abisheakjacob/customer-churn-dataset-banking-industry
291,UCI Bank Customer Churn Dataset,41200,21,6.47,https://www.kaggle.com/datasets/busradeveci/bank-churn
412,E-commerce Customer Engagement,9508,23,6.47,https://www.kaggle.com/datasets/noir1112/e-commerce-customer-engagement
413,Bank Dataset For Fairness,10000,15,6.47,https://www.kaggle.com/datasets/kushasahu/bank-dataset-for-fairness
254,Retail dataset,8047,17,6.47,https://www.kaggle.com/datasets/braniac2000/retail-dataset
356,Telecom Churn,230,6,6.47,https://www.kaggle.com/datasets/sarodeankur/telecom-churn
375,Customer_Churn_Prediction,10000,14,6.47,https://www.kaggle.com/datasets/moaazhammad/customer-churn-prediction
136,Practice Dataset Predict Customer Churn (Telecom),3333,11,6.47,https://www.kaggle.com/datasets/gaurangswarge/practice-dataset-predict-customer-churn-telecom
70,telecom churn (cell2cell),20000,58,6.47,https://www.kaggle.com/datasets/jpacse/datasets-for-churn-telecom
457,Telechurn,3333,21,6.47,https://www.kaggle.com/datasets/remonic97/telechurn
488,E COMMERCE DATASET,0,3,6.47,https://www.kaggle.com/datasets/codewithuday/amazon-smart-phone-products-data-2024
217,MembershipWoes,10400,15,6.47,https://www.kaggle.com/datasets/varshapandey/assignment-data
526,Customer Purchase Data,1500,9,6.47,https://www.kaggle.com/datasets/presheepresh/customer-purchase-data
162,Customer Churn Prediction,1000,9,6.47,https://www.kaggle.com/datasets/saivamsir/customer-churn
571,E-Commerce Customer Multiclass Classification Data,1000,9,6.47,https://www.kaggle.com/datasets/suryanshchourasiya/ecommerce-customer-dataset
80,Churn Bank Customers AK,10000,14,6.47,https://www.kaggle.com/datasets/akelsayed/churn-bank-customers-ak
159,Churn data,10000,14,6.47,https://www.kaggle.com/datasets/synful/churn-data
28,Customer Churn Prediction Dataset,300,21,6.47,https://www.kaggle.com/datasets/ahmedgaitani/customer-churn-prediction-dataset
633,Telecome Dataset for Churn Prediction,791000,70,6.47,https://www.kaggle.com/datasets/ma12492002/telecome-dataset-for-churn-prediction
98,Customer Churn & Segmentation Dataset (Synthetic),2000,9,6.47,https://www.kaggle.com/datasets/efeyldz/customer-churn-and-segmentation-dataset-synthetic
359,UrbanMart Transactions Dataset (2023-2024),50000,9,6.47,https://www.kaggle.com/datasets/xyzeys/urbanmart-transactions-dataset-2023-2024
255,Telecom Data,441000,12,6.47,https://www.kaggle.com/datasets/gandhimlengineer/telecom-data
260,Churn Classification,10000,14,6.47,https://www.kaggle.com/datasets/synful/churn-classification
430,Bank Churn Prediction,10000,14,6.47,https://www.kaggle.com/datasets/bonginstates/bank-churn-prediction
223,Telecom Churn Prediction,126,17,6.47,https://www.kaggle.com/datasets/sooryaprakash12/telecom-churn-prediction
529,Banking Churn Modelling,10000,14,6.47,https://www.kaggle.com/datasets/amithsompalli/banking-churn-modelling
137,Bank Customer Churn,158000,14,5.88,https://www.kaggle.com/datasets/cat-reloaded-data-science/bank-customer-churn
583,Data Info Purchases Customer,3,2,5.88,https://www.kaggle.com/datasets/sebastianq11/data-info-purchases-customer
127,Telecommunication Customer Churn Data,7043,21,5.88,https://www.kaggle.com/datasets/ebruiserisobay/telcods
243,Telecom Churn Case Study,38,2,5.88,https://www.kaggle.com/datasets/venkatasubramanian/telecom-churn-case-study
386,Telecom Customer Churn Prediction Dataset,7043,21,5.88,https://www.kaggle.com/datasets/sowmyakuruba/customer-churn-dataset
335,CHURN_DATASET,667,20,5.88,https://www.kaggle.com/datasets/sunchuabhishek/churn-dataset
385,Churn Prediction,7042,21,5.88,https://www.kaggle.com/datasets/mizan116/churn-prediction
213,Customer Churn Analysis Dataset,1000,11,5.88,https://www.kaggle.com/datasets/adityayadav01/customer-churn-analysis-dataset
34,Telco customer churn (11.1.3+),7043,33,5.88,https://www.kaggle.com/datasets/ylchang/telco-customer-churn-1113
543,PhoneNow Churn Dataset,7043,23,5.88,https://www.kaggle.com/datasets/ashwinjoseph05/phonenow-churn-dataset
58,Logisticregression telecomCustomer churmprediction,7042,9,5.88,https://www.kaggle.com/datasets/dileep070/logisticregression-telecomcustomer-churmprediction
569,Clustering-Bank Dataset,3070,2,5.88,https://www.kaggle.com/datasets/gopi1035/clusteringbank-dataset
541,Simulated Churn Data,1000,4,5.88,https://www.kaggle.com/datasets/adnanalaref/simulated-churn-data
157,telecom churn dataset,100000,226,5.88,https://www.kaggle.com/datasets/datajameson/telecom-churn-dataset
328,Telecom Churn Analysis Dataset,3333,21,5.88,https://www.kaggle.com/datasets/geetmukherjee/telecom-churn-analysis-dataset
51,Telco Customer Churn,7043,21,5.88,https://www.kaggle.com/datasets/mustafaoz158/telco-customer-churn
625,Electric Mobility Dataset,2499,18,5.88,https://www.kaggle.com/datasets/rakeshmeka/electric-mobility-dataset
31,Customer Churn,900,10,5.88,https://www.kaggle.com/datasets/hassanamin/customer-churn
146,telecom_Churn,7043,21,5.88,https://www.kaggle.com/datasets/ritikasaini/telecom-churn
350,Telecom Churn Predict,1000,9,5.88,https://www.kaggle.com/datasets/swarajkhan/telecom-churn-predict
287,churn-modelling-score,2000,17,5.88,https://www.kaggle.com/datasets/lavagod/churn-modelling-score
149,bank customers churn,17855,12,5.88,https://www.kaggle.com/datasets/lashkingl/bank-customers-churn
331,Customer Churn Prediction Dataset,1000,7,5.88,https://www.kaggle.com/datasets/ziya07/customer-churn-prediction-dataset
